Employee ID,Burn Rate
fffe31003300390039003000,0.604242426
fffe31003300310037003800,0.372472403
fffe33003400380035003900,0.403034085
fffe3100370039003200,0.4071
fffe32003600390036003700,0.520122603
fffe3600390032003200,0.485428622
fffe3600370032003200,0.3147875
fffe32003900390030003000,0.672708333
fffe3100370031003000,0.597526197
fffe31003500320037003600,0.42211373
fffe3400370031003100,0.401210964
fffe32003800300035003300,0.337429568
fffe31003700380037003700,0.381453255
fffe33003400300038003900,0.591178717
fffe33003100300039003600,0.62374
fffe33003400380038003300,0.540649008
fffe33003400310032003500,0.613903368
fffe33003400360032003000,0.767054545
fffe32003800360033003400,0.272503006
fffe3600350031003700,0.469650804
fffe3200310033003500,0.366920358
fffe370039003500,0.217878276
fffe32003500340036003200,0.500760956
fffe360038003200,0.613642178
fffe31003800300039003900,0.511713754
fffe32003500310034003200,0.382958226
fffe33003100320039003300,0.478835833
fffe33003000330034003700,0.354370304
fffe32003500310039003300,0.351969091
fffe31003500310033003200,0.3003
fffe31003900320038003800,0.357776288
fffe31003400340039003000,0.8921
fffe390033003000,0.4258
fffe3700360033003400,0.1105
fffe31003700390034003900,0.176674747
fffe31003700360035003900,0.603258867
fffe31003200370037003900,0.381136919
fffe31003400310038003500,0.378881925
fffe32003200370033003000,0.301582933
fffe31003300320036003300,0.3428
fffe3900390034003600,0.601194297
fffe32003300310032003600,0.2815
fffe3500360039003300,0.86568
fffe3700340039003900,0.684466667
fffe31003400370032003200,0.282676704
fffe360032003200,0.250951429
fffe33003100340030003600,0.595321667
fffe31003500300037003700,0.32094016
fffe31003600390038003800,0.392564044
fffe33003300360030003500,0.550095
fffe3900380030003300,0.344742084
fffe31003700330034003500,0.395435539
fffe31003500360036003900,0.3371
fffe3200380033003100,0.591561123
fffe3900360033003900,0.642733983
fffe33003000370031003200,0.540543764
fffe32003700370036003200,0.244018667
fffe31003400320034003300,0.465991743
fffe32003600360034003200,0.283655124
fffe32003700380035003100,0.71133305
fffe31003400350034003200,0.194133333
fffe31003000320038003200,0.564116607
fffe32003400300030003800,0.5048
fffe32003600320038003300,0.438544762
fffe3300340035003700,0.369666843
fffe31003900320032003000,0.361290772
fffe3300370032003100,0.313977259
fffe33003300350038003900,0.168070833
fffe32003900360038003700,0.226534286
fffe3100380033003400,0.528168642
fffe3900390032003500,0.1916
fffe32003200320035003600,0.288002222
fffe32003700380031003900,0.168453309
fffe3400330034003000,0.419082052
fffe33003300380035003400,0.3289
fffe3300380034003000,0.589642652
fffe32003500360039003200,0.558810671
fffe31003700360038003600,0.274091973
fffe33003300370036003200,0.587016786
fffe3200340039003500,0.587376779
fffe3600300036003500,0.655406667
fffe31003300370032003000,0.554503663
fffe3700360036003700,0.659764881
fffe33003200390030003200,0.17319
fffe31003500340035003100,0.560086667
fffe33003000350035003300,0.0634
fffe31003400300036003000,0.713430898
fffe31003700330035003200,0.495910653
fffe33003000320032003400,0.413697934
fffe32003300350034003700,0.261578928
fffe32003200340034003400,0.351589286
fffe3800380035003100,0.168533333
fffe33003100310039003900,0.574621667
fffe3700330032003300,0.372970771
fffe32003300390033003900,0.462388696
fffe31003500370037003700,0.3423
fffe32003000310035003500,0.2764
fffe38003200,0.748
fffe31003900310032003600,0.737566667
fffe32003200320039003900,0.230780192
fffe33003000360035003200,0.409756412
fffe33003100390031003800,0.629938022
fffe32003800360031003400,0.64167411
fffe32003300320034003300,0.668272857
fffe3800330032003400,0.438981203
fffe3600380038003000,0.37103049
fffe32003500320030003700,0.35202
fffe33003400330032003600,0.2699
fffe32003300380030003600,0.648646811
fffe31003000360032003900,0.717022496
fffe3300310032003500,0.324680606
fffe3200320033003000,0.686225
fffe340032003600,0.416718889
fffe3900390036003500,0.823495
fffe3900310039003900,0.4424
fffe3700390037003100,0.37141
fffe31003200340031003600,0.623751136
fffe33003200380038003800,0.369415833
fffe32003400380038003200,0.421078968
fffe32003300330037003600,0.279644444
fffe33003400360030003700,0.39600542
fffe31003900340030003800,0.37149653
fffe33003400300037003400,0.456954441
fffe3400360035003700,0.547117966
fffe33003000340039003100,0.547066587
fffe32003000390030003300,0.608599404
fffe32003800300030003000,0.174833333
fffe32003500300032003800,0.448086806
fffe3800330032003700,0.644293922
fffe32003900380039003600,0.268010455
fffe3200310031003300,0.281839921
fffe32003700350038003000,0.470479091
fffe31003800370033003700,0.449743651
fffe33003300380038003100,0.7436
fffe31003400340030003400,0.370536337
fffe31003000340030003400,0.311990413
fffe31003400330032003700,0.167927778
fffe31003700310030003300,0.562797923
fffe31003300310033003300,0.746525
fffe33003400330031003500,0.582547125
fffe32003800300036003800,0.620949462
fffe33003000300032003900,0.0413
fffe32003800390035003700,0.2755
fffe3400320036003200,0.480368095
fffe33003200390038003700,0.466433333
fffe33003100380035003700,0.245324444
fffe32003900350032003100,0.0951
fffe31003400360032003800,0.721080833
fffe32003500340030003200,0.2519
fffe32003600330035003300,0.379818208
